artistid,name,desc,genre,img
1001,ed sheran,"Edward Christopher Sheeran (born 17 February 1991)  is an English singer-songwriter. Born in Halifax, West Yorkshire, and raised in Framlingham, Suffolk, he began writing songs around the age of eleven. In early 2011, Sheeran independently released the extended play No. 5 Collaborations Project. He signed with Asylum Records the same year.","pop,folk",
1002,luis fonsi,"Luis Alfonso Rodr¡guez L¢pez-Ceperoÿ(born April 15, 1978), known by his stage nameÿLuis Fonsiÿ(Spanish pronunciation:ÿ[?lwisÿ?fonsi]), is a Puerto Rican singer. He is known for his soulful and dance oriented songs, most notably 2017's ""Despacito"".","latin pop,dance",
1003,charilie puth,"Charles Otto Puth Jr.ÿ(/pu??/ÿborn December 2, 1991) is an American singer-songwriter. His initial exposure came through the viral success of his songÿcoversÿuploaded toÿYouTube. Puth signed with the record labelÿelevenelevenÿin 2011 after performing onÿThe Ellen DeGeneres Show, while also songwriting and producing material for other artists.","pop,folk",
1004,ellie goulding,"Elena Jane Goulding (/??o?ld??/ GOHL-ding; born 30 December 1986) is an English singer and songwriter. She signed a recording contract with Polydor Records in 2009 and released her debut extended play, An Introduction to Ellie Goulding.[1] Goulding's debut studio album, Lights (2010), debuted at No.?1 on the UK Albums Chart. The album was later reissued as Bright Lights, spawning three successful singles: a cover of Elton John's ""Your Song"", ""Starry Eyed"", and ""Lights"". Her second studio album, Halcyon (2012), was preceded by the lead single ""Anything Could Happen"". Halcyon Days (2013), a repackaged edition of Halcyon, produced the single ""Burn"", which became her first No.?1 single in the UK. Following her third studio album, Delirium (2015), and its lead single ""On My Mind"", Goulding received her first Grammy Award nomination for Best Pop Solo Performance for her single ""Love Me like You Do"".","pop,rock",
1005,rema,"Divine Ikubor (born 1 May 2000), known professionally as Rema, is a Nigerian rapper, singer and songwriter. He gained initial recognition following the release of his 2019 song ""Dumebi"". That same year, he signed with D'Prince's record label, Jonzing World.[3] He received wider recognition for his 2022 single ""Calm Down"", which spawned a remix with American singer Selena Gomez that peaked at number three on the Billboard Hot 100,[4] and led the United States Afrobeats Songs chart for a record-setting 58 weeks.[5]",hip hop,
1006,ananya bhat,"Ananya Bhat is an Indian playback singer who primarily sings in Kannada and Telugu.[2][3][4] Through her singing career, she is the recipient of Filmfare Award for the song ""Namma Kaayo Devan"", of the film Rama Rama Re... at 64th Filmfare Awards South in 2017.[5]","melody,",
1007,elley duhe,"Elley Frances Duh‚, known commonly as Elley Duh‚, is an American singer born in Mobile, Alabama.[1] After her father got Elley her first guitar when she was 14, she began her career at 15 singing in coffee shops. Duh‚ felt inspired by her musician father and uncles who are in the New Orleans music scene. Graduating to playing gigs in bars, restaurants, and at private parties, she gained enough exposure to be booked to open for national acts and connect with songwriters in Nashville, Los Angeles, and Austin, where, after dropping out of high school and getting her GED, she spent three years honing her craft. She appeared in the blind audition stage of the second season of The Voice in 2012, but did not advance in the competition.[2] Early in her career she used the stage name 'L.E.D.'[3] She currently[when?] lives in Los Angeles.[4]","dance , elecric",
1008,alec benjamin,"Alec Shane Benjamin (born May 28, 1994) is an American singer, songwriter, and musician. Born and raised in Phoenix, Arizona, his 2018 breakthrough single ""Let Me Down Slowly"" reached the top 40 in over 25 countries and has amassed over 1.7 billion streams on Spotify as of December 2023.","pop,melody",
1009,maron 5,"Maroon 5 is an American pop rock band from Los Angeles, California.[3][4] It consists of lead vocalist Adam Levine, rhythm guitarist and keyboardist Jesse Carmichael, lead guitarist James Valentine, drummer Matt Flynn, keyboardist PJ Morton and multi-instrumentalist and bassist Sam Farrar. Original members Levine, Carmichael, bassist Mickey Madden, and drummer Ryan Dusick first came together as Kara's Flowers in 1994, while they were in high school.","rock,pop,electric",
1010,eminen,"Marshall Bruce Mathers III (born October 17, 1972), known professionally as Eminem, is an American rapper. He is credited with popularizing hip hop in Middle America and is regarded as one of the greatest rappers of all time.[3] His global success is regarded as having broken racial barriers for the acceptance of white rappers in popular music. While much of his transgressive work during the late 1990s and early 2000s made him a controversial figure, he came to be a representation of popular angst of the American underclass and has been cited as an influence by and upon many artists working in various genres.","rap,pop,hiphop",
1011,benson boone,"Boone's career began when he started sharing his music on the social media platform, TikTok, subsequently auditioning for American Idol. He later withdrew from the competition, but continued to gain popularity on TikTok. He was recognized and signed by Dan Reynolds, frontman of American pop rock band Imagine Dragons, to his Night Street Records label. Boone's debut single, ""Ghost Town"", was released in October 2021, charting in 16 countries. He has since released multiple successful singles, including ""In the Stars"" and ""Beautiful Things"", the latter of which peaked at the top of the UK Singles Chart, his first number one single on a major music chart.[5] It also became his first song to reach the top five on the Billboard Hot 100.[6] As of April 2024, Boone has amassed 6.8 million followers on TikTok, as well as garnering over 60 million monthly listeners on Spotify. His debut album, Fireworks & Rollerblades, was released on April 5, 2024.","pop,country",
1012,halsey,"Ashley Nicolette Frangipane (IPA: /?fr‘nd???p??ni/ FRAN-jih-PAH-nee;[1] born September 29, 1994), known professionally as Halsey (/?h??lzi/ HAWL-zee), is an American singer-songwriter and actress. Noted for her[a] distinctive singing voice,[2] she has received several awards including three Billboard Music Awards, a Billboard Women in Music Award,[3] an American Music Award and nominations for three Grammy Awards. She was included on Time's annual list of the 100 most influential people in the world in 2020.[4]","pop,country",
1013,taylor swift,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. A subject of widespread public interest, she has influenced the music industry and popular culture through her artistry, songwriting and entrepreneurship. She is an advocate of artists' rights and women's empowerment.","pop,folk,country",
1014,max,,"pop,melody",
1015,thaikudam bridge,"Thaikkudam Bridgeÿis aÿmulti-genreÿIndianÿmusic band, originated fromÿKeralaÿin 2013. The band achieved its first commercial success through the musical showÿMusic Mojo, which used to telecast onÿKappa TV[1]ÿwhere they released their debut original composition, ""Fish Rock,"" during theÿKappa TV's ""Music Mojo"" session. The song is also popularly known by the lyrics ""Ayela, mathi, choora, kaari..."".[2]ÿThe track went viral on social media, getting them extensive fame.[3]ÿThe band has won numerous awards, and has performed at over more than 600 shows and 25 countries as of 2024.[4]","rap,rock hiphop,melody",
1016,lisa,"Lalisa Manobalÿ(also spelledÿManoban;[a]ÿbornÿPranpriya Manobal;[b]ÿMarch 27, 1997), known mononymously asÿLisaÿ(Korean:ÿ??), is a Thai rapper, singer, dancer, and actress. She is a member of the South Korean girl groupÿBlackpink, which debuted underÿYG Entertainmentÿin August 2016. She is set to make her acting debut in 2025 in theÿHBOÿtelevision seriesÿThe White Lotus.","rap,kpop",
1017,bruno mars,"Peter Gene Hernandezÿ(born October 8, 1985), known professionally asÿBruno Mars, is an American singer-songwriter. He is known for his stage performances,ÿretroÿshowmanship, and for performing in a wide range of musical styles, includingÿpop,ÿR&B,ÿfunk,ÿsoul,ÿreggae,ÿdisco, andÿrock. Mars is accompanied by his band,ÿthe Hooligans, who play a variety of instruments, such as electric guitar, bass, piano, keyboards, drums, and horns, and also serve as backup singers and disco dancers. In 2021, he collaborated withÿAnderson .Paak, as the American musical superduoÿSilk Sonic.","pop,hphop,rock",
